Nationality,ASHANTI REGION,,Ghana Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan,BONO REGION,,SSNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,CENTRAL REGION,,Passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algerian,EASTERN REGION,,Company Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorran,GREATER ACCRA REGION,,Non Citizen Identity Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angolan,AHAFO REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguillan,NORTH EAST REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentine,NORTHERN REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,OTI REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian,SAVANNAH REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian,BONO EAST REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,UPPER EAST REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamian,VOLTA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahraini,WESTERN REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladeshi,UPPER WEST REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbadian,WESTERN NORTH REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belizean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beninese,FundManagers,ALGEBRA CAPITAL MANAGEMENT LIMITED,ALKE CALEO INVESTMENT MANAGEMENT (GHANA) LTD,ASHFIELD INVESTMENT MANAGERS LIMITED,BLACK STAR ADVISORS LIMITED,BORA CAPITAL ADVISORS LTD,CAL ASSET MANAGEMENT COMPANY LTD,CHAPEL HILL DENHAM MANAGEMENT GHANA LIMITED,CIDAN INVESTMENTS LIMITED,CORNERSTONE CAPITAL ADVISORS LIMITED,CRYSTAL CAPITAL & INVESTMENT LIMITED,DATABANK ASSET MANAGEMENT SERVICES LTD,DELTA CAPITAL LIMITED,ECOCAPITAL INVESTMENT MANAGEMENT LIMITED,EDC INVESTMENTS LIMITED,FIDELITY SECURITIES LIMITED,FIDELITY SECURITIES LIMITED,FIRST ATLANTIC ASSET MANAGEMENT COMPANY LIMITED,FIRST FINANCE COMPANY LIMITED,GCB CAPITAL LIMITED,GLICO CAPITAL LIMITED,IC ASSET MANAGERS (GHANA) LTD,IC ASSET MANAGERS (GHANA) LTD,IGS FINANCIAL SERVICES LIMITED,INVESTCORP ASSET MANAGEMENT LIMITED,INVESTITURE FUND MANAGERS LIMITED,MONARCH CAPITAL LIMITED,NEW GENERATION INVESTMENT SERVICES LIMITED,NIMED CAPITAL LIMITED,OYA CAPITAL LIMITED,PHOENIXAFRICA SECURITIES LIMITED,PREMIUM PLACE INVESTMENTS LTD,PRUDENTIAL SECURITIES LIMITED,PRUDENTIAL SECURITIES LIMITED,REGAL ALLIANCE INVESTMENT LIMITED,REPUBLIC INVESTMENTS (GHANA) LIMITED,SAS INVESTMENT MANAGEMENT LIMITED,SDC CAPITAL LIMITED,SEM CAPITAL ADVISORS LIMITED,SENTINEL ASSET MANAGEMENT LIMITED,SIC-FINANCIAL SERVICES LIMITED,STANBIC INVESTMENT MANAGEMENT SERVICES LIMITED,TEMPLE INVESTMENT LIMITED,TESAH CAPITAL LIMITED,UMB INVESTMENT HOLDINGS LIMITED,WAICA RE CAPITAL LIMITED
